time,I_L2
1.1280000000e-03,1.1231483241e+02
1.1320000000e-03,1.1113297169e+02
1.1360000000e-03,1.1016568325e+02
1.1400000000e-03,1.0957057796e+02
1.1440000000e-03,1.0927212470e+02
1.1480000000e-03,1.0914435909e+02
1.1520000000e-03,1.0906564661e+02
1.1560000000e-03,1.0891782923e+02
1.1600000000e-03,1.0858809590e+02
1.1640000000e-03,1.0800232056e+02
1.1680000000e-03,1.0725494985e+02
1.1720000000e-03,1.0662529916e+02
1.1760000000e-03,1.0637055073e+02
1.1800000000e-03,1.0673131142e+02
1.1840000000e-03,1.0788241246e+02
1.1880000000e-03,1.0970531786e+02
1.1920000000e-03,1.1183458676e+02
1.1960000000e-03,1.1410963301e+02
1.2000000000e-03,1.1636442077e+02
1.2040000000e-03,1.1843914151e+02
1.2080000000e-03,1.2018269001e+02
1.2120000000e-03,1.2145490642e+02
1.2160000000e-03,1.2203413250e+02
1.2200000000e-03,1.2177722337e+02
1.2240000000e-03,1.2098330991e+02
1.2280000000e-03,1.1993208775e+02
1.2320000000e-03,1.1889640888e+02
1.2360000000e-03,1.1813807686e+02
1.2400000000e-03,1.1779378251e+02
1.2440000000e-03,1.1776285509e+02
1.2480000000e-03,1.1790498853e+02
1.2520000000e-03,1.1808424214e+02
1.2560000000e-03,1.1816889334e+02
1.2600000000e-03,1.1803351067e+02
1.2640000000e-03,1.1758711527e+02
1.2680000000e-03,1.1690457040e+02
1.2720000000e-03,1.1625774888e+02
1.2760000000e-03,1.1589760501e+02
1.2800000000e-03,1.1606026081e+02
1.2840000000e-03,1.1696180445e+02
1.2880000000e-03,1.1856497216e+02
1.2920000000e-03,1.2050313704e+02
1.2960000000e-03,1.2260779307e+02
1.3000000000e-03,1.2470541691e+02
1.3040000000e-03,1.2662878969e+02
1.3080000000e-03,1.2821959515e+02
1.3120000000e-03,1.2933077616e+02
1.3160000000e-03,1.2978158376e+02
1.3200000000e-03,1.2950750577e+02
1.3240000000e-03,1.2879322428e+02
1.3280000000e-03,1.2790371392e+02
1.3320000000e-03,1.2709642902e+02
1.3360000000e-03,1.2661723019e+02
1.3400000000e-03,1.2658085623e+02
1.3440000000e-03,1.2686040458e+02
1.3480000000e-03,1.2730116330e+02
1.3520000000e-03,1.2775302896e+02
1.3560000000e-03,1.2807109021e+02
1.3600000000e-03,1.2811788885e+02
1.3640000000e-03,1.2778599115e+02
1.3680000000e-03,1.2713095841e+02
1.3720000000e-03,1.2641845269e+02
1.3760000000e-03,1.2589454321e+02
1.3800000000e-03,1.2579232876e+02
1.3840000000e-03,1.2632846701e+02
1.3880000000e-03,1.2751675935e+02
1.3920000000e-03,1.2907533775e+02
1.3960000000e-03,1.3082719283e+02
1.4000000000e-03,1.3259430671e+02
1.4040000000e-03,1.3420478474e+02
1.4080000000e-03,1.3549553876e+02
1.4120000000e-03,1.3631472743e+02
1.4160000000e-03,1.3652576300e+02
1.4200000000e-03,1.3614501941e+02
1.4240000000e-03,1.3544031366e+02
1.4280000000e-03,1.3466268025e+02
1.4320000000e-03,1.3405443606e+02
1.4360000000e-03,1.3384540440e+02
1.4400000000e-03,1.3412754678e+02
1.4440000000e-03,1.3474629037e+02
1.4480000000e-03,1.3553156376e+02
1.4520000000e-03,1.3631785712e+02
1.4560000000e-03,1.3694560178e+02
1.4600000000e-03,1.3726365204e+02
1.4640000000e-03,1.3714591097e+02
1.4680000000e-03,1.3662601628e+02
1.4720000000e-03,1.3596149558e+02
1.4760000000e-03,1.3539154100e+02
1.4800000000e-03,1.3514423790e+02
